Model,Split,AUC_mean,AUC_std,AUC,F1_mean,F1_std,F1,Precision_mean,Precision_std,Precision,Recall_mean,Recall_std,Recall
LR,random,0.9042719343761936,0.0220945333367213,0.9043 ± 0.0221,0.9210160818713452,0.0047545536500356,0.9210 ± 0.0048,0.9000071703708802,0.0161146596187463,0.9000 ± 0.0161,0.943522856781056,0.0145060413346474,0.9435 ± 0.0145
LR,scaffold,0.7558001893939393,0.0,0.7558 ± 0.0000,0.8866498740554155,1.1102230246251563e-16,0.8866 ± 0.0000,0.8585365853658536,0.0,0.8585 ± 0.0000,0.9166666666666666,0.0,0.9167 ± 0.0000
SVM,random,0.9017699684788452,0.004488339544028,0.9018 ± 0.0045,0.9283927454659162,0.0128877060796945,0.9284 ± 0.0129,0.8927045897314893,0.0164983809658602,0.8927 ± 0.0165,0.9671464550532552,0.0110047507817682,0.9671 ± 0.0110
SVM,scaffold,0.7378472222222222,5.580072452545515e-05,0.7378 ± 0.0001,0.8794995610184372,0.0054838541707472,0.8795 ± 0.0055,0.8380511463844798,6.235509534276372e-05,0.8381 ± 0.0001,0.9253472222222222,0.0122761593955998,0.9253 ± 0.0123
MLP,random,0.8982546185619084,0.0133584313144213,0.8983 ± 0.0134,0.8960038921951607,0.0054915788448309,0.8960 ± 0.0055,0.9274874027458684,0.0139014192186188,0.9275 ± 0.0139,0.867052185780817,0.017172010529005,0.8671 ± 0.0172
MLP,scaffold,0.774542297979798,0.0056738664018788,0.7745 ± 0.0057,0.8007360097775319,0.0069186887164598,0.8007 ± 0.0069,0.921011693099254,0.0023803466082815,0.9210 ± 0.0024,0.7083333333333334,0.0112512859347358,0.7083 ± 0.0113
RF,random,0.9074309001116648,0.014655355358709,0.9074 +/- 0.0147,0.764396458035995,0.0239485832631229,0.7644 +/- 0.0239,0.8947141652041964,0.0063293974598369,0.8947 +/- 0.0063,0.7256327574423054,0.0205610700794316,0.7256 +/- 0.0206
RF,scaffold,0.7468237058080809,0.0062770854830764,0.7468 +/- 0.0063,0.4932623723579708,0.0315823880531178,0.4933 +/- 0.0316,0.7436046652602992,0.2381712445736604,0.7436 +/- 0.2382,0.5227272727272727,0.0160706086633306,0.5227 +/- 0.0161
Lipinski,random,0.6295063675461295,0.016587989740462,0.6295 +/- 0.0166,0.6444355223943458,0.0207542752130954,0.6444 +/- 0.0208,0.7134977817565972,0.0095487728450057,0.7135 +/- 0.0095,0.6295063675461295,0.016587989740462,0.6295 +/- 0.0166
Lipinski,scaffold,0.5516098484848485,0.0,0.5516 +/- 0.0000,0.5493456289879373,0.0,0.5493 +/- 0.0000,0.7719900187149097,1.1102230246251563e-16,0.7720 +/- 0.0000,0.5516098484848485,0.0,0.5516 +/- 0.0000
