smiles,MW,LogP,HBD,HBA,rings,true_label
CC(=O)Oc1ccccc1C(O)=O,180.16,1.31,1,3,1,0
C[C@@](Cc1ccc(O)c(O)c1)(NN)C(O)=O,226.23,-0.05,5,5,1,0
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,304.22,3.38,1,2,1,0
NCC(O)c1ccc(O)c(O)c1,169.18,0.09,4,4,1,0
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,323.13,0.91,3,5,1,0
CCCNC(=O)N[S](=O)(=O)c1ccc(Cl)cc1,276.75,1.74,2,3,1,0
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,242.7,3.06,0,3,1,0
CC(C)(Oc1ccc(Cl)cc1)C(O)=O,214.65,2.58,1,2,1,0
CN[C@@H](C)[C@H](O)c1ccccc1,165.24,1.33,2,2,1,0
CNC[C@H](O)c1ccc(O)c(O)c1,183.21,0.35,4,4,1,0
CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl,303.14,3.61,1,3,1,0
NC(N)=N\N=C\c1c(Cl)cccc1Cl,231.09,1.6,2,2,1,0
C[C@H](N)[C@H](O)c1cccc(O)c1,167.21,0.77,3,3,1,0
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,197.19,0.05,4,4,1,0
NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O,305.2,1.93,2,3,1,0
C[C@](N)(Cc1ccc(O)c(O)c1)C(O)=O,211.22,0.44,4,4,1,0
[Na+].CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C([O-])=O)c1I,635.9,-1.22,2,4,1,0
CCOc1ccc(NC(C)=O)cc1,179.22,2.04,1,2,1,0
CCCN(CCC)[S](=O)(=O)c1ccc(cc1)C(O)=O,285.37,2.2,1,3,1,0
OC(=O)c1ccccc1O,138.12,1.09,2,2,1,0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34,0.45,3,4,1,0
CCCCNC(=O)N[S](=O)(=O)c1ccc(C)cc1,270.35,1.78,2,3,1,0
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,239.31,1.31,4,4,1,0
Nc1ccc(C(O)=O)c(O)c1,153.14,0.67,3,3,1,0
CNCC(O)c1ccc(O)c(O)c1,183.21,0.35,4,4,1,0
NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,257.25,-1.76,7,7,1,0
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,351.44,2.84,2,6,1,0
CNC(C)C(=O)c1ccc(OC)cc1,193.25,1.49,1,3,1,0
CNCC(O)c1cccc(OC(=O)C(C)(C)C)c1,251.33,1.89,2,4,1,0
NC(CO)(CO)CO,121.14,-2.34,4,4,0,0
OC(=O)CCCCCCCC(O)=O,188.22,1.89,2,2,0,0
[Cl-].CC(C[N+](C)(C)C)OC(N)=O,196.68,-2.82,1,2,0,0
OCC(O)C(O)C(O)C(O)CO,182.17,-3.59,6,6,0,0
[Na+].[O-][S](=O)(=O)CCS,164.18,-3.53,1,4,0,0
NCCCNCCS[P](O)(O)=O,214.23,-0.25,4,4,0,0
CC[C@@H](CO)NCCN[C@@H](CC)CO,204.31,-0.29,4,4,0,0
