model,split,use_class_weight,seed,auc,f1,precision,recall
GCN,random,False,42,0.8543,0.7038,0.8584,0.6751
GCN,random,True,42,0.8738,0.7837,0.7701,0.8151
GCN,scaffold,False,42,0.5118,0.4835,0.5075,0.5118
GCN,scaffold,True,42,0.5076,0.3305,0.5348,0.536
GCN,random,False,123,0.8531,0.7645,0.8708,0.7239
GCN,random,True,123,0.8084,0.68,0.6691,0.717
GCN,scaffold,False,123,0.5107,0.4463,0.4626,0.447
GCN,scaffold,True,123,0.6533,0.4598,0.5902,0.6307
GCN,random,False,7,0.8811,0.7305,0.8871,0.6966
GCN,random,True,7,0.8819,0.814,0.8248,0.8052
GCN,scaffold,False,7,0.5134,0.4628,0.4758,0.4661
GCN,scaffold,True,7,0.5066,0.4576,0.5214,0.535
