smiles,MW,LogP,HBD,HBA,rings,true_label
C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,360.33,4.64,0,3,1,1
C[S](=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,356.23,0.4,3,5,1,1
c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OCC(CNC(C)C)O,336.43,2.37,3,5,1,1
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O,379.5,2.89,3,5,1,1
CC(=O)Nc1ccc(O)cc1,151.16,1.35,2,2,1,1
NNCCc1ccccc1.O[S](O)(=O)=O,234.28,0.04,4,4,1,1
NC(=O)OCCCc1ccccc1,179.22,1.71,1,2,1,1
CCN(CC)CCOC(=O)c1ccc(N)cc1,236.31,1.77,1,4,1,1
COCCc1ccc(OCC(O)CNC(C)C)cc1,267.37,1.61,2,4,1,1
CC(C)NCC(O)c1ccc(N[S](C)(=O)=O)cc1,272.37,1.09,3,4,1,1
CCOC(=O)c1ccc(N)cc1,165.19,1.45,1,3,1,1
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,239.75,3.3,1,2,1,1
OCCOC(=O)NCc1ccccc1,195.22,0.91,2,3,1,1
OC(=O)CNC(=O)c1ccccc1O,195.17,0.21,3,3,1,1
COC(=O)c1ccc(cc1)C(=O)OC,194.19,1.26,0,4,1,1
c1cc(ccc1CCCC(OC(C)(C)C)=O)N(CCCl)CCCl,360.33,4.64,0,3,1,1
CCC(O)(COC(N)=O)c1ccccc1,209.25,1.38,2,3,1,1
CN(C)CCOC(=O)COc1ccc(Cl)cc1,257.72,1.82,0,4,1,1
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,336.43,2.37,3,5,1,1
COc1cc(CCN)cc(OC)c1OC,211.26,1.21,1,4,1,1
COc1ccccc1OCC(O)COC(N)=O,241.24,0.53,2,5,1,1
CNC(C)C(O)c1ccc(O)cc1,181.23,1.03,3,3,1,0
C1=CC(=CC=C1CC(OC(C(C)N)=O)(C)C)Cl,255.74,2.55,1,3,1,1
C1=CC=CC(=C1C(O)=O)OC(C)=O,180.16,1.31,1,3,1,1
C1=CC=CC=C1CNC(CCCl)=O,197.66,1.93,1,1,1,1
C1=C(C(=C(C=C1Br)C)O)C(N)=O,230.06,1.56,2,2,1,1
C1=C(C=CC(=C1)NC(C)=O)OC(C)(C)C,207.27,2.82,1,2,1,1
C1=C(C(OC(N)=O)C#C)C=CC=C1,175.19,1.46,1,2,1,1
C1=C(C=CC(=C1)[S](N)(=O)=O)C(O)=O,201.2,0.03,2,3,1,1
[C@@H](C(C1=CC=CC=C1)=O)(C)N,149.19,1.22,1,2,1,1
C1=C(C(O)C(CO)NC(C(Cl)Cl)=O)C=CC(=C1)C(=O)C,320.17,1.2,3,4,1,1
C1=C(C(=CC(=C1)Cl)Cl)OCCCN(CC#C)C,272.17,3.33,0,2,1,1
C1=C(C(N)=O)C=C(C(=C1OC)OCCCCCCCCCC)OC,337.46,4.32,1,4,1,1
C1=C(Cl)C=C(C(=C1C(NCCN(CC)CC)=O)OC)Cl,319.23,3.07,1,3,1,1
C1=C(C=CC=C1C(CNC(CCCO)=O)(CC)CC)OC,293.41,2.64,2,3,1,1
C1=C(C(COC(N)=O)COC(N)=O)C=CC=C1,238.24,0.96,2,4,1,1
C1=CC(=CC=C1C(CC(C)(C)O)(C)O)Cl,228.72,2.71,2,2,1,1
[C@@H](C1=CC=C(C=C1)[S](C)(=O)=O)([C@H](NC(C(Cl)Cl)=O)CF)O,358.22,1.38,2,4,1,1
CCOC(=O)N(CCN(C)C)c1cccc(c1)C(F)(F)F,304.31,3.23,0,3,1,1
C1=CC(=CC=C1[S](CC)(=O)=O)F,188.22,1.62,0,2,1,1
C1=C(C(F)(F)F)C=CC(=C1)C(=N/OCCN)/CCCCOC.O=C(O)\C=C/C(=O)O,434.41,2.91,3,6,1,1
C1=CC(=CC=C1OCC(NNC(C)C)=O)Cl,242.71,1.75,2,3,1,1
[H+].C1=C(OCC(=O)NCCN(CC)CC)C=CC(=C1)OC.[Cl-],316.83,-1.35,1,4,1,1
C1=C(C=CC=C1O)NC(C)=O,151.16,1.35,2,2,1,1
C1=C(C(C(C)(C)O)(C)O)C=CC=C1Cl,214.69,2.32,2,2,1,1
C1=CC=CC=C1CC(NC(N)=O)=O,178.19,0.42,2,2,1,1
C1=CC=CC=C1C(C(NC(N)=O)=O)CC,206.24,1.38,2,2,1,1
C1=CC(=CC=C1OC(CN(CC)CC)=O)NC(C)=O,264.32,1.89,1,4,1,1
[C@H](C1=CC(=CC=C1)OC(N(CC)C)=O)(N(C)C)C,250.34,2.76,0,3,1,1
C(C1=CC=CC=C1O)(=O)N,137.14,0.49,2,2,1,1
[C@@H](CC1=CC=CC=C1)(N(CC#C)C)C,187.29,2.18,0,1,1,1
[C@H](C(=O)OC1=CC=C(C=C1)NC(=O)C)(NC(=O)C)CCSC,324.4,1.81,2,5,1,1
C1=CC=CC(=C1OCC(COC(C(Cl)(Cl)Cl)O)OC(C(Cl)(Cl)Cl)O)C,477.0,4.15,2,5,1,1
C1=C(C(=C(C=C1C(NCC(N(CC)CC)=O)=O)OC)OC)OC,324.38,1.31,1,5,1,1
[C@@H](O)([C@@H](O)C(=O)O)C(=O)O.[C@@H](N)(CC1=CC=C(N(C)C)C=C1C)C,342.39,-0.17,5,6,1,1
C1=CC(=CC=C1NCCC(N(C)C)=O)Br,271.16,2.34,1,2,1,1
C1=C(Br)C(=CC(=C1C(NCCN(CC)CC)=O)OC)N,344.25,2.11,2,4,1,1
C1=CC=CC=C1C(NNC(OCC)=O)C,208.26,2.0,2,3,1,1
